Tiempo[s]   Memoria[bytes]   Tamaño   
8.800001523923129e-06   24   1   
1.6099998902063817e-05   96   2   
5.599998985417187e-06   384   4   
4.29999636253342e-06   864   6   
4.699999408330768e-06   1536   8   
5.000001692678779e-06   3456   12   
0.00012579999747686088   55296   48   
4.359999729786068e-05   153600   80   
9.100000170292333e-05   405600   130   
0.0001703000016277656   693600   170   
0.000342100000125356   1500000   250   
0.0005424999981187284   2160000   300   
0.0019123000020044856   3840000   400   
0.0029085999995004386   6000000   500   
0.006018400003085844   8640000   600   
0.008332799996424   11760000   700   
0.012778100004652515   15360000   800   
0.021408900000096764   21660000   950   
0.038898600003449246   34560000   1200   
0.07635680000385037   54000000   1500   
0.11753780000435654   77760000   1800   
0.15219559999968624   96000000   2000   
0.23695130000123754   121500000   2250   
0.337068900000304   150000000   2500   
0.5562465000039083   216000000   3000   
0.8466148000006797   294000000   3500   
1.3983454999979585   384000000   4000   
2.7446320000017295   600000000   5000   
6.207409800001187   1014000000   6500   
8.62876690000121   1350000000   7500   
20.3705415000004   2400000000   10000   
0.06622710000374354   24   1   
0.0004778000002261251   96   2   
1.2500000593718141e-05   384   4   
0.000131200002215337   864   6   
0.00010509999992791563   1536   8   
1.920000067912042e-05   3456   12   
0.00013809999654768035   55296   48   
5.8999998145736754e-05   153600   80   
0.00034509999386500567   405600   130   
0.00017520000255899504   693600   170   
0.0007448999967891723   1500000   250   
0.0007149000011850148   2160000   300   
0.002457700000377372   3840000   400   
0.003754999997909181   6000000   500   
0.006303699999989476   8640000   600   
0.008707600005436689   11760000   700   
0.013567099995270837   15360000   800   
0.022812099996372126   21660000   950   
0.04032100000040373   34560000   1200   
0.08618930000375258   54000000   1500   
0.14113910000014585   77760000   1800   
0.18566719999944326   96000000   2000   
0.27126750000024913   121500000   2250   
0.32792170000175247   150000000   2500   
0.6185799000013503   216000000   3000   
0.9211119000028702   294000000   3500   
1.2961185999956797   384000000   4000   
2.5067376000006334   600000000   5000   
5.604327799999737   1014000000   6500   
8.423260199997458   1350000000   7500   
19.900977299999795   2400000000   10000   
0.06720160000259057   24   1   
2.800000220304355e-05   96   2   
1.1000003723893315e-05   384   4   
6.800000846851617e-06   864   6   
7.899994670879096e-06   1536   8   
1.2600001355167478e-05   3456   12   
6.410000059986487e-05   55296   48   
8.459999662591144e-05   153600   80   
8.230000094044954e-05   405600   130   
0.00012760000390699133   693600   170   
0.00029299999732756987   1500000   250   
0.0006510000021080486   2160000   300   
0.001977799998712726   3840000   400   
0.0032944000049610622   6000000   500   
0.005985900002997369   8640000   600   
0.006662600004347041   11760000   700   
0.013218500003858935   15360000   800   
0.021081799997773487   21660000   950   
0.035105299997667316   34560000   1200   
0.07258700000238605   54000000   1500   
0.12037190000410192   77760000   1800   
0.18143680000503082   96000000   2000   
0.25547889999870677   121500000   2250   
0.35103100000560516   150000000   2500   
0.5829957999958424   216000000   3000   
0.9018360999980359   294000000   3500   
1.3335445000047912   384000000   4000   
2.6354969999956666   600000000   5000   
5.571066199998313   1014000000   6500   
8.56309670000337   1350000000   7500   
20.805080500002077   2400000000   10000   
0.07006669999827864   24   1   
2.8100002964492887e-05   96   2   
6.000002031214535e-06   384   4   
7.700000423938036e-06   864   6   
6.599999323952943e-06   1536   8   
6.999995093792677e-06   3456   12   
0.0001229999979841523   55296   48   
8.059999527176842e-05   153600   80   
0.0004076999975950457   405600   130   
0.00017130000196630135   693600   170   
0.0003938999943784438   1500000   250   
0.0007697999972151592   2160000   300   
0.0023193000015453435   3840000   400   
0.0027637999955913983   6000000   500   
0.00606050000351388   8640000   600   
0.00890120000258321   11760000   700   
0.012914200000523124   15360000   800   
0.02434440000070026   21660000   950   
0.04162390000419691   34560000   1200   
0.08113700000103563   54000000   1500   
0.14694849999796133   77760000   1800   
0.19898619999730727   96000000   2000   
0.27855010000348557   121500000   2250   
0.3571197999990545   150000000   2500   
0.5708846999987145   216000000   3000   
0.9372774000003119   294000000   3500   
1.4195149000006495   384000000   4000   
2.652719400000933   600000000   5000   
5.565530100000615   1014000000   6500   
8.528565599997819   1350000000   7500   
20.762674400000833   2400000000   10000   
0.06666019999829587   24   1   
2.8100002964492887e-05   96   2   
1.3900003978051245e-05   384   4   
5.000001692678779e-06   864   6   
9.300005331169814e-06   1536   8   
1.049999991664663e-05   3456   12   
4.020000051241368e-05   55296   48   
3.8300000596791506e-05   153600   80   
9.589999535819516e-05   405600   130   
0.00017549999756738544   693600   170   
0.00039030000334605575   1500000   250   
0.000639899997622706   2160000   300   
0.0013714000015170313   3840000   400   
0.002478200003679376   6000000   500   
0.003430899996601511   8640000   600   
0.008948599999712314   11760000   700   
0.010250399995129555   15360000   800   
0.01866180000070017   21660000   950   
0.04304979999869829   34560000   1200   
0.0729734999986249   54000000   1500   
0.12543349999759812   77760000   1800   
0.15961809999862453   96000000   2000   
0.27768079999805195   121500000   2250   
0.3614251000035438   150000000   2500   
0.5774104000010993   216000000   3000   
0.8991898000022047   294000000   3500   
1.3422973999986425   384000000   4000   
2.560692899998685   600000000   5000   
5.589994900001329   1014000000   6500   
8.77674599999591   1350000000   7500   
20.528737399996317   2400000000   10000   
0.06706429999758257   24   1   
2.7900001441594213e-05   96   2   
5.800000508315861e-06   384   4   
4.4000043999403715e-06   864   6   
1.0299998393747956e-05   1536   8   
8.09999619377777e-06   3456   12   
9.010000212583691e-05   55296   48   
2.8700000257231295e-05   153600   80   
8.359999628737569e-05   405600   130   
0.00015310000162571669   693600   170   
0.00036980000004405156   1500000   250   
0.0005678999950760044   2160000   300   
0.0011424999975133687   3840000   400   
0.003155400001560338   6000000   500   
0.006118800003605429   8640000   600   
0.009679900002083741   11760000   700   
0.013989999999466818   15360000   800   
0.021218399997451343   21660000   950   
0.04169230000115931   34560000   1200   
0.07694849999825237   54000000   1500   
0.12749500000063563   77760000   1800   
0.17616870000347262   96000000   2000   
0.2540034000048763   121500000   2250   
0.3472170000022743   150000000   2500   
0.576511199993547   216000000   3000   
0.902017699998396   294000000   3500   
1.3308018000025186   384000000   4000   
2.6975692999985768   600000000   5000   
5.546779299998889   1014000000   6500   
8.379920300001686   1350000000   7500   
20.146694000002753   2400000000   10000   
0.0646647000030498   24   1   
2.7800000680144876e-05   96   2   
5.30000397702679e-06   384   4   
4.2000028770416975e-06   864   6   
4.800000169780105e-06   1536   8   
5.299996701069176e-06   3456   12   
8.489999891025946e-05   55296   48   
3.880000440403819e-05   153600   80   
7.919999916339293e-05   405600   130   
0.00019070000416832045   693600   170   
0.00042560000292724   1500000   250   
0.0006708000000799075   2160000   300   
0.0018821000048774295   3840000   400   
0.0032656999974278733   6000000   500   
0.006247999997867737   8640000   600   
0.010259899994707666   11760000   700   
0.015467000004719011   15360000   800   
0.025628700001107063   21660000   950   
0.042528199999651406   34560000   1200   
0.077228300004208   54000000   1500   
0.12245590000384254   77760000   1800   
0.17350509999960195   96000000   2000   
0.2638208999997005   121500000   2250   
